DateTime,Solar Irradiance (W/m²),Temperature (°C),Cloud Cover (%),Wind Speed (m/s),Air Pressure (hPa),Solar Power Output (kWh),Wind Power Output (kWh)
2024-12-01 00:00:00,699.3428306022465,24.44271021531484,30.39826402488056,8.234089849043364,1010.532527007096,0.5559649538973818,0.16746992877023334
2024-12-01 01:00:00,572.347139765763,31.232523892160025,0.0,3.4591504017242425,1007.286515630487,0.46936330944534266,0.014228847982506284
2024-12-01 02:00:00,729.5377076201385,32.491108742483924,6.709396295324343,7.286723060411656,1014.5963054584065,0.7845740753158856,0.11700476652268159
2024-12-01 03:00:00,904.6059712816051,35.700745192606334,15.011309302251876,5.3697173081207294,1013.7292825904929,0.8770830860036765,0.04138696239975839
2024-12-01 04:00:00,553.1693250553328,37.90270343284187,30.54710295854074,5.504389708468573,1009.0769450278148,0.3851704675811325,0.04814190094020647
2024-12-01 05:00:00,553.1726086101639,24.924529040860655,57.476457255822424,1.059382837297198,1004.2114353802937,0.23430676315230017,0.00035457669668137286
2024-12-01 06:00:00,915.8425631014783,25.94571244394831,16.579914097854232,0.5941732935885629,1012.5536777480364,0.7217651695589231,5.212739237576867e-05
2024-12-01 07:00:00,753.4869458305818,23.71211070542692,0.0,4.558868119465372,1004.9102527693243,0.9024283462320972,0.030810861713491917
2024-12-01 08:00:00,506.1051228130096,28.829900704465093,26.03402115801947,5.493812126833223,1006.2076803853457,0.316122787033298,0.04145310651107765
2024-12-01 09:00:00,708.5120087171929,32.331791872231676,39.81493684311065,2.7496043445245535,1005.1029213089242,0.44180617449067167,0.005925118647918215
2024-12-01 10:00:00,507.31646143750754,34.93667258294551,21.620211814692514,2.8226131790473157,1009.3074948903002,0.42653064746345837,0.007475060531317719
2024-12-01 11:00:00,506.85404928594863,29.620244881787386,6.400271822685607,6.1229452596522655,1015.8509616703528,0.5568349091467332,0.0671331290106422
2024-12-01 12:00:00,648.3924543132068,28.40076238372578,34.36990912220028,6.125708960914261,1009.9747956488824,0.4732357378620461,0.07742509320468881
2024-12-01 13:00:00,217.34395106844045,30.758789961243703,29.953184277476524,4.724517879224146,1007.7839065378615,0.1610023809703488,0.029270058306479777
2024-12-01 14:00:00,255.01643349739345,25.824285491849885,4.608787337065634,6.5604034423721505,1002.3719253497737,0.2059770731133175,0.0989743423221712
2024-12-01 15:00:00,487.54249415180544,40.44769360847387,25.72138426301513,2.651595408559707,1012.7606229236492,0.3438493674037158,0.004881977685717782
2024-12-01 16:00:00,397.43377593311527,21.961694864409708,34.95898351488309,4.288130165826058,1006.0979769703569,0.22115192054123292,0.019048051588860315
